time,open,high,low,close,vwap,volume,count
2025-12-12 17:39:00,132.16,132.16,132.05,132.09,132.1,2.84965295,17
2025-12-12 17:40:00,132.13,132.15,132.02,132.02,132.06,186.81795389,24
2025-12-12 17:41:00,131.93,131.93,131.78,131.83,131.8,1920.31401685,33
2025-12-12 17:42:00,131.73,131.79,131.71,131.73,131.75,78.90530005,18
2025-12-12 17:43:00,131.79,131.79,131.71,131.74,131.78,5.95791603,9
2025-12-12 17:44:00,131.72,131.86,131.7,131.84,131.71,538.2605172,32
2025-12-12 17:45:00,131.88,131.98,131.86,131.89,131.9,91.65980503,17
2025-12-12 17:46:00,131.87,132.09,131.81,132.09,131.84,61.58233261,19
2025-12-12 17:47:00,132.09,132.23,132.09,132.16,132.2,56.83035466,11
2025-12-12 17:48:00,132.19,132.19,132.15,132.17,132.18,18.30059902,17
2025-12-12 17:49:00,132.15,132.15,132.0,132.06,132.09,13.75297061,10
2025-12-12 17:50:00,132.14,132.14,132.0,132.0,132.03,31.34283477,19
2025-12-12 17:51:00,132.0,132.04,131.91,131.92,132.01,71.78593181,15
2025-12-12 17:52:00,131.87,131.94,131.81,131.9,131.88,46.21528648,14
2025-12-12 17:53:00,131.96,132.06,131.96,132.01,132.03,48.64971983,24
2025-12-12 17:54:00,131.99,132.07,131.96,131.96,131.99,25.00794361,17
2025-12-12 17:55:00,132.08,132.2,132.08,132.2,132.15,0.55354006,7
2025-12-12 17:56:00,132.2,132.24,132.19,132.23,132.2,6.12489027,10
2025-12-12 17:57:00,132.25,132.25,132.14,132.14,132.22,23.76659476,7
2025-12-12 17:58:00,132.1,132.15,132.08,132.13,132.1,153.29191996,11
2025-12-12 17:59:00,132.12,132.18,132.12,132.16,132.17,22.61137211,17
2025-12-12 18:00:00,132.2,132.22,132.14,132.2,132.16,54.90426812,27
2025-12-12 18:01:00,132.3,132.44,132.22,132.28,132.27,20.25248429,17
2025-12-12 18:02:00,132.34,132.45,132.33,132.33,132.33,25.37362975,8
2025-12-12 18:03:00,132.45,132.8,132.45,132.8,132.53,571.31895703,27
2025-12-12 18:04:00,132.73,132.73,132.66,132.66,132.71,816.57953102,15
2025-12-12 18:05:00,132.62,132.62,132.46,132.46,132.55,51.82691789,13
2025-12-12 18:06:00,132.53,132.53,132.39,132.42,132.45,167.61002022,19
2025-12-12 18:07:00,132.47,132.55,132.47,132.53,132.52,34.11766,8
2025-12-12 18:08:00,132.5,132.5,132.32,132.41,132.42,79.21969332,15
2025-12-12 18:09:00,132.47,132.55,132.38,132.47,132.5,428.10894014,32
2025-12-12 18:10:00,132.45,132.46,132.27,132.31,132.37,61.52748035,11
2025-12-12 18:11:00,132.22,132.34,132.21,132.28,132.21,77.02201604,14
2025-12-12 18:12:00,132.27,133.1,132.27,132.64,132.69,1161.39918098,88
2025-12-12 18:13:00,132.62,132.75,132.61,132.75,132.66,89.92584216,25
2025-12-12 18:14:00,132.75,132.78,132.52,132.53,132.65,291.23816413,25
