Ticker,Date,Open,High,Low,Close,Volume
QGMD,2022-06-08,2.0320,2.1370,2.0100,2.0960,5873254
QGMD,2022-06-09,2.0850,2.1390,2.0850,2.0920,1883308
QGMD,2022-06-12,2.0810,2.1350,2.0200,2.0560,6297356
QGMD,2022-06-13,2.0430,2.0830,2.0100,2.0100,2258645
QGMD,2022-06-14,2.0050,2.0150,1.9800,1.9800,1757730
QGMD,2022-06-15,2.0100,2.0100,1.9510,1.9660,1161860
QGMD,2022-06-16,1.9530,1.9850,1.9400,1.9450,2146511
QGMD,2022-06-19,1.9450,1.9500,1.7560,1.7680,4052467
QGMD,2022-06-20,1.7510,1.8300,1.6730,1.7190,4022506
QGMD,2022-06-21,1.6910,1.7490,1.6910,1.7000,2399883
QGMD,2022-06-22,1.6940,1.7010,1.5300,1.5300,5294235
QGMD,2022-06-23,1.5330,1.5990,1.3820,1.4680,6558595
QGMD,2022-06-26,1.5230,1.6130,1.4810,1.5790,7893927
QGMD,2022-06-27,1.5810,1.6000,1.5300,1.5330,3730095
QGMD,2022-06-28,1.5580,1.5600,1.5010,1.5240,4239832
QGMD,2022-06-29,1.5050,1.6500,1.5050,1.6110,13126835
QGMD,2022-06-30,1.6290,1.6450,1.5850,1.5860,5669072
QGMD,2022-07-03,1.5870,1.6120,1.5750,1.5750,1322571
QGMD,2022-07-04,1.5720,1.5830,1.5330,1.5580,1339699
QGMD,2022-07-05,1.5310,1.5690,1.4950,1.5000,3345049
QGMD,2022-07-06,1.5640,1.5640,1.4000,1.4350,4408699
QGMD,2022-07-07,1.4360,1.4770,1.4010,1.4400,4038034
QGMD,2022-07-13,1.4400,1.4400,1.4000,1.4100,1718642
QGMD,2022-07-14,1.4010,1.4260,1.3500,1.3730,3804803
QGMD,2022-07-17,1.4000,1.4250,1.3750,1.4100,2114953
QGMD,2022-07-18,1.4100,1.4450,1.3940,1.4150,4337161
QGMD,2022-07-19,1.4190,1.4480,1.3950,1.3960,4215576
QGMD,2022-07-20,1.4050,1.4860,1.4050,1.4580,5775758
QGMD,2022-07-21,1.4590,1.4890,1.4260,1.4260,3934068
QGMD,2022-07-24,1.4490,1.5350,1.4300,1.4800,8398553
QGMD,2022-07-25,1.4890,1.4950,1.4560,1.4700,2703327
QGMD,2022-07-26,1.4700,1.5250,1.4700,1.4850,3336307
QGMD,2022-07-27,1.4800,1.4950,1.4660,1.4700,1852961
QGMD,2022-07-28,1.4710,1.5300,1.4660,1.5080,3444210
QGMD,2022-07-31,1.5280,1.5440,1.5020,1.5100,1664741
QGMD,2022-08-01,1.5110,1.5750,1.5100,1.5450,6122157
QGMD,2022-08-02,1.5490,1.6990,1.5250,1.6990,18197000
QGMD,2022-08-03,1.7360,1.8450,1.7200,1.7990,18628424
QGMD,2022-08-04,1.8350,1.8580,1.7070,1.7620,4867791
QGMD,2022-08-07,1.7970,1.7970,1.7540,1.7650,1420318
QGMD,2022-08-08,1.7640,1.9160,1.7500,1.8700,18772854
QGMD,2022-08-09,1.8700,1.9470,1.8420,1.9210,9343604
QGMD,2022-08-10,1.9330,1.9350,1.8400,1.8800,7003963
QGMD,2022-08-11,1.8550,1.8780,1.7780,1.8000,14432891
QGMD,2022-08-14,1.8000,1.8000,1.7500,1.7700,3583950
QGMD,2022-08-15,1.7600,1.7690,1.7100,1.7260,1970451
